date,lat,lon,CO_mol_per_m2,qa_value
,13.445612,108.25764,0.036415134,0.7
,13.465051,108.32624,0.035679504,0.7
,13.484243,108.39451,0.038457897,0.7
,13.503196,108.46245,0.035903923,0.7
,13.521916,108.530075,0.038896047,0.7
,13.540409,108.59741,0.03789471,0.7
,13.558681,108.66446,0.035142783,0.7
,13.576736,108.73125,0.0343796,0.7
,13.594583,108.79779,0.033307385,0.7
,13.612225,108.86409,0.033667877,0.7
,13.629666,108.93016,0.037203316,0.7
,13.6469145,108.996025,0.03769697,0.7
,13.680847,109.12718,0.03758881,1.0
,13.714058,109.25765,0.040232785,1.0
,13.730405,109.32267,0.042834852,1.0
,13.746585,109.38755,0.04321847,1.0
,13.762601,109.45231,0.043038364,0.7
,13.778458,109.51697,0.036934014,1.0
,13.80971,109.646,0.04090814,1.0
,13.82511,109.71041,0.033977892,1.0
,13.840367,109.774765,0.03143794,1.0
,13.8704605,109.903336,0.03504625,0.7
,13.885302,109.96758,0.04063585,0.7
,11.633673,103.05608,0.03609916,0.7
,11.692031,103.19598,0.0340649,0.7
,11.748702,103.332596,0.03359768,0.7
,11.960045,103.84937,0.028346887,0.7
,12.009382,103.97183,0.036034763,0.7
,12.057443,104.091835,0.028706662,0.7
,12.104278,104.20949,0.0302768,0.7
,12.14994,104.32491,0.03659087,0.7
,12.194476,104.43819,0.033639777,0.7
,12.237932,104.54941,0.03561552,0.7
,12.280353,104.65866,0.03611709,0.7
,12.321775,104.76603,0.033555824,1.0
,12.36224,104.87159,0.034037795,0.7
,12.401783,104.97542,0.0346688,0.7
,12.440439,105.07758,0.029662156,0.7
,12.47824,105.17815,0.037821025,0.7
,12.515219,105.27717,0.037150312,0.7
,12.551403,105.37472,0.0371952,0.7
,12.5868225,105.47085,0.038107157,0.7
,12.621504,105.56561,0.03723936,0.7
,12.655473,105.65906,0.039101817,0.7
,12.688754,105.75124,0.03538185,0.7
,12.72137,105.84221,0.03625095,0.7
,12.753344,105.932,0.03746258,0.7
,12.784697,106.02066,0.04021428,0.7
,12.815449,106.10823,0.03624811,0.7
,12.845621,106.194756,0.036182728,0.7
,12.875231,106.28027,0.042062238,0.7
,12.904297,106.364815,0.037903555,0.7
,12.932836,106.44842,0.03289899,0.7
,12.960865,106.53111,0.038654216,0.7
,12.9884,106.61294,0.040546577,0.7
,13.015457,106.69392,0.0344806,0.7
,13.068192,106.85348,0.032622866,0.7
,13.093898,106.93211,0.03722,0.7
,13.11918,107.010025,0.03518559,1.0
,13.1440525,107.087234,0.038163565,0.7
,13.168526,107.163765,0.037491094,0.7
,13.192613,107.23965,0.03624617,0.7
,13.216324,107.314896,0.03597787,0.7
,13.239671,107.38955,0.04281844,0.7
,13.262663,107.463615,0.037723564,0.7
,13.285312,107.537125,0.039066754,0.7
,13.307626,107.61009,0.03821083,0.7
,13.329616,107.68254,0.03721849,0.7
,13.35129,107.75449,0.04037554,0.7
,13.372656,107.825966,0.037768766,0.7
,13.393725,107.89698,0.04051161,0.7
,13.414503,107.967545,0.039852995,0.7
,13.434999,108.03769,0.033706665,0.7
,13.455221,108.10743,0.03477892,0.7
,13.475176,108.17678,0.034090225,0.7
,13.494871,108.24575,0.037534043,0.7
,13.514313,108.31437,0.03786653,0.7
,13.533509,108.382645,0.03569499,1.0
,13.552465,108.4506,0.03696857,0.7
,13.571188,108.51824,0.038480014,0.7
,13.589684,108.58559,0.041474078,0.7
,13.607958,108.65266,0.031655233,0.7
,13.626017,108.71946,0.03770657,0.7
,13.643866,108.786,0.03563463,0.7
,13.6615095,108.85232,0.0330012,0.7
,13.678954,108.9184,0.039744224,0.7
,13.696204,108.98428,0.034113128,0.7
,13.713265,109.049965,0.033974934,0.7
,13.730142,109.11546,0.03951459,1.0
,13.746838,109.18079,0.0379288,1.0
,13.763357,109.245964,0.04319426,1.0
,13.779706,109.31099,0.041928288,1.0
,13.795888,109.375885,0.041873615,1.0
,13.811906,109.44066,0.04103866,0.7
,13.8277645,109.505325,0.037255537,1.0
,13.843468,109.5699,0.042916175,1.0
,13.859019,109.63439,0.03527906,1.0
,13.874423,109.698814,0.0338312,1.0
